combination_id;val1;val2;val3;expn_val
12;23 ~ 32;High school graduate ~ Some college, less than college graduate;Other service -> 0.2299168975069252|Sales, retail -> 0.11911357340720222|Administrative support, including clerical -> 0.10803324099722991|;200 -> 1.1163434903047091|100 -> 0.21329639889196675|300 -> 0.13573407202216067|
12;56 ~ 69;High school graduate ~ Associate's degree;Other service -> 0.18971061093247588|Administrative support, including clerical -> 0.1639871382636656|Sales, retail -> 0.10932475884244373|;200 -> 1.0257234726688103|300 -> 0.6334405144694534|100 -> 0.43086816720257237|
12;26 ~ 39;Bachelor's degree;Professional -> 0.35268817204301073|Administrator, manager -> 0.15483870967741936|Other service -> 0.08172043010752689|;200 -> 1.060215053763441|100 -> 0.4752688172043011|300 -> 0.44946236559139785|
12;36 ~ 55;null ~ High school graduate;Other service -> 0.3157894736842105|Construction, mining -> 0.0935672514619883|Sales, retail -> 0.08187134502923976|;200 -> 1.04093567251462|300 -> 0.21637426900584794|100 -> 0.13450292397660818|
12;42 ~ 61;Associate's degree ~ Master's degree;Professional -> 0.3972602739726027|Administrator, manager -> 0.2009132420091324|Teacher -> 0.1050228310502283|;100 -> 2.5799086757990866|200 -> 1.1187214611872147|300 -> 0.9680365296803652|
12;33 ~ 45;Some college, less than college graduate ~ Associate's degree;Professional -> 0.21657754010695188|Other service -> 0.13101604278074866|Administrator, manager -> 0.12834224598930483|;200 -> 1.0561497326203209|100 -> 0.5909090909090909|300 -> 0.5721925133689839|
12;41 ~ 51;High school graduate ~ Some college, less than college graduate;Other service -> 0.16184971098265896|Professional -> 0.12716763005780346|Administrator, manager -> 0.10982658959537572|;200 -> 1.0144508670520231|100 -> 0.407514450867052|300 -> 0.4046242774566474|
12;35 ~ 48;Master's degree ~ Professional/Doctorate degree;Professional -> 0.5621890547263682|Teacher -> 0.22885572139303484|Administrator, manager -> 0.08955223880597014|;200 -> 0.9552238805970149|300 -> 0.6268656716417911|100 -> 0.5870646766169154|
12;49 ~ 65;Bachelor's degree ~ Master's degree;Professional -> 0.4326923076923077|Administrator, manager -> 0.17548076923076922|Teacher -> 0.1201923076923077|;200 -> 1.0576923076923077|300 -> 0.8293269230769231|100 -> 0.4855769230769231|
12;46 ~ 61;High school graduate ~ Some college, less than college graduate;Administrative support, including clerical -> 0.21266968325791855|Administrator, manager -> 0.16289592760180996|Other service -> 0.12669683257918551|;100 -> 2.018099547511312|200 -> 1.257918552036199|300 -> 0.918552036199095|
